ent,kind,hand
Do,O,O
you,O,O
like,O,O
blood,O,O
;,O,O
gore,O,O
?,O,O
Are,O,O
you,O,O
into,O,O
cutting,O,O
;,O,O
slashing,O,O
?,O,O
Is,O,O
cannibalism,O,O
more,O,O
your,O,O
speed,O,O
?,O,O
Or,O,O
maybe,O,O
monsters,O,PERSON
;,O,O
evil,O,O
children,O,O
get,O,O
you,O,O
going,O,O
?,O,O
Whatever,O,O
your,O,O
ghoulish,O,O
pleasure,O,O
",",O,O
we,O,O
have,O,O
a,O,O
tale,O,O
for,O,O
you,O,O
.,O,O
In,O,O
the,O,O
tradition,O,O
of,O,O
Creepshow,O,O
;,O,O
Tales,O,O
from,O,O
the,O,O
Crypt,LOCATION,LOCATION
",",O,O
DRIVE-IN,O,O
HORRORSHOW,O,Organization
features,O,O
five,O,O
terrifying,O,O
tales,O,O
of,O,O
horror,O,O
.,O,O
Giant,O,O
insects,O,O
are,O,O
found,O,O
in,O,O
the,O,O
sewers,O,O
of,O,O
NYC,O,LOCATION
.,O,O
One,O,O
man,O,O
",",O,O
who,O,O
is,O,O
known,O,O
for,O,O
crying,O,O
wolf,O,O
has,O,O
to,O,O
tell,O,O
his,O,O
bosses,O,PERSON
who,O,O
never,O,O
take,O,O
him,O,O
serious,O,O
.,O,O
He,O,O
puts,O,O
his,O,O
job,O,O
and,O,O
his,O,O
love,O,O
life,O,O
on,O,O
the,O,O
line,O,O
for,O,O
the,O,O
sake,O,O
of,O,O
the,O,O
city,O,LOCATION
!,O,O
Only,O,O
when,O,O
they,O,O
find,O,O
his,O,O
story,O,O
to,O,O
be,O,O
TRUE,O,O
is,O,O
it,O,O
too,O,O
late,O,O
...,O,O
or,O,O
is,O,O
it,O,O
?,O,O
While,O,O
joy,O,O
riding,O,O
along,O,O
a,O,O
lonely,O,O
deserted,O,O
road,O,O
",",O,O
two,O,O
cars,O,O
happen,O,O
upon,O,O
a,O,O
mutilated,O,O
body,O,O
.,O,O
Stranded,O,O
",",O,O
the,O,O
group,O,O
forces,O,O
deeper,O,O
into,O,O
the,O,O
woods,O,O
in,O,O
search,O,O
of,O,O
help,O,O
.,O,O
Unseen,O,O
terror,O,O
draws,O,O
the,O,O
group,O,Organization
apart,O,O
with,O,O
hallucinations,O,O
of,O,O
friends,O,O
and,O,O
lovers,O,O
.,O,O
Soon,O,O
an,O,O
invisible,O,O
menace,O,O
hunts,O,O
new,O,O
prey,O,O
.,O,O
One,O,O
by,O,O
one,O,O
the,O,O
group,O,O
is,O,O
dissolved,O,O
",",O,O
leaving,O,O
the,O,O
last,O,O
one,O,O
to,O,O
ally,O,O
with,O,O
the,O,O
only,O,O
remaining,O,O
local,O,O
for,O,O
a,O,O
final,O,O
",",O,O
albeit,O,O
futile,O,O
",",O,O
attempt,O,O
at,O,O
escape,O,O
.,O,O
No,O,O
warning,O,O
.,O,O
No,O,O
mercy,O,O
.,O,O
Because,O,O
lost,O,O
and,O,O
found,O,O
are,O,O
worlds,O,O
apart,O,O
when,O,O
you,O,O
're,O,O
Out,O,O
There,O,O
.,O,O
John,PERSON,PERSON
Porter,PERSON,PERSON
is,O,O
going,O,O
through,O,O
a,O,O
crisis,O,O
in,O,O
his,O,O
faith,O,O
.,O,O
He,O,O
turns,O,O
to,O,O
his,O,O
girlfriend,O,O
Fran,O,PERSON
only,O,O
to,O,O
find,O,O
out,O,O
that,O,O
she,O,O
just,O,O
may,O,O
be,O,O
a,O,O
vampire,O,PERSON
serial,O,O
killer,O,O
.,O,O
Meanwhile,O,O
",",O,O
John,PERSON,PERSON
is,O,O
confronted,O,O
by,O,O
a,O,O
mysterious,O,O
man,O,O
in,O,O
a,O,O
dog,O,O
suit,O,O
who,O,O
wants,O,O
to,O,O
change,O,O
his,O,O
life,O,O
for,O,O
the,O,O
better,O,O
.,O,O
Will,O,O
John,PERSON,PERSON
Porter,PERSON,PERSON
be,O,O
able,O,O
to,O,O
find,O,O
what,O,O
he,O,O
's,O,O
looking,O,O
for,O,O
and,O,O
salvage,O,O
his,O,O
relationship,O,O
with,O,O
Fran,O,PERSON
?,O,O
Find,O,O
out,O,O
the,O,O
answers,O,O
to,O,O
the,O,O
question,O,O
in,O,O
``,O,O
16,O,O
Heads,O,O
and,O,O
Counting,O,O
.,O,O
'',O,O
A,O,O
film,O,O
that,O,O
shows,O,O
some,O,O
of,O,O
the,O,O
more,O,O
popular,O,O
aspects,O,O
in,O,O
American,O,PERSON
horror,O,O
today,O,O
",",O,O
Rape,O,O
and,O,O
Torture,O,O
.,O,O
However,O,O
",",O,O
in,O,O
this,O,O
film,O,O
both,O,O
are,O,O
approached,O,O
with,O,O
the,O,O
belief,O,O
that,O,O
it,O,O
is,O,O
better,O,O
to,O,O
show,O,O
less,O,O
than,O,O
to,O,O
through,O,O
it,O,O
in,O,O
the,O,O
audiences,O,O
face,O,O
without,O,O
context,O,O
.,O,O